"Item","","IZA800G","IZA800GW"
"Hardware Revision","","F1","F1"
"Supported Analytics","LPR Analytics","Plate Recognition",""
"","","Plate State of Issue",""
"","","Plate Type",""
"","Vehicle Analytics","Vehicle Detection",""
"","","Vehicle Classification",""
"","","Vehicle Color",""
"","","Vehicle Make",""
"Lanes Covered","","One",""
"Max Vehicle Speed","","Up to 120 mph (193 km/h)",""
"LPR Capture Distance*","","n G/GW-S-XX – 16-39 ft (5-12 m)",""
"(for U.S.A. plates)","","n G/GW-L-XX – 33-65 ft (10-20 m)",""
"","","n G/GW-XL-XX – 33-80 ft (10-24 m)",""
"LPR Illumination","Number of LEDs","n  15 (same ones as for OV illumination)","n  10"
"","Wavelength","n  G-XX-DR – Deep Red","n  GW-XX-DR – Deep Red"
"","","n  G-XX-IR – Infrared","n  GW-XX-IR – Infrared"
"","","n  G-XX-IL – Invisible Infrared","n  GW-XX-IL – Invisible Infrared"
"","Beam Angle","n  G-S-XX – 40°x16°","n  GW-S-XX – 40°x16°"
"","","n  G-L-XX – 15°x15°","n  GW-L-XX – 15°x15°"
"","","n  G-XL-XX – 15°x15°","n  GW-XL-XX – 15°x15°"
"LPR Camera","Shutter Type","Global",""
"","Sensor","Sony IMX265",""
"","Resolution","2mp - 1920 (H) × 1080 (V)",""
"","Lens","n  G-S-XX – 12-40 mm;","n  GW-S-XX – 12-40 mm;"
"","","Motorized Zoom and","Motorized Zoom and"
"","","Auto-focus","Auto-focus"
"","","n  G-L-XX – 12-40 mm;","n  GW-L-XX – 12-40 mm;"
"","","Motorized Zoom and","Motorized Zoom and"
"","","Auto-focus","Auto-focus"
"","","n  G-XL-XX – 12-50 mm;","n  GW-XL-XX – 12-50 mm;"
"","","Manual Zoom and Focus","Manual Zoom and Focus"
"","Video Compression","MJPEG, H.264, H.265",""
"","Video Streaming","RTSP Protocol",""
"OV Illumination","Number of LEDs","n  15 (same ones as for LPR illumination)","n  5"
"","Wavelength","n  G-XX-DR – Deep Red","n  Visible, Warm White"
"","","n  G-XX-IR – Infrared",""
"","","n  G-XX-IL – Invisible Infrared",""
"","Beam Angle","n  G-S-XX – 40°x16°","n  GW-S-XX – 40°x16°"
"","","n  G-L-XX – 15°x15°","n  GW-L-XX – 15°x15°"
"","","n  G-XL-XX – 15°x15°","n  GW-XL-XX – 15°x15°"
"OV Camera","Shutter Type","Global",""
"","Sensor","Sony IMX265",""
"","Resolution","2mp - 1920 (H) × 1080 (V)",""
"","Lens","n  G-S-XX – 12-40 mm;","n  GW-S-XX – 12-40 mm;"
"","","Motorized Zoom and","Motorized Zoom and"
"","","Auto-focus","Auto-focus"
"","","n  G-L-XX – 12-40 mm;","n  GW-L-XX – 12-40 mm;"
"","","Motorized Zoom and","Motorized Zoom and"
"","","Auto-focus","Auto-focus"
"","","n  G-XL-XX – 12-50 mm;","n  GW-XL-XX – 12-50 mm;"
"","","Manual Zoom and Focus","Manual Zoom and Focus"
"","Video Compression","MJPEG, H.264, H.265",""
"","Video Streaming","RTSP Protocol",""
"Supported Protocols (for additional protocols, see the RoadView ALPR User Guide)","INEX HTTP API","LPR Events are reported to IZCentral, or a 3rd party system via protocols such as the INEX HTTP API protocol. Each LPR Event includes metadata and associated images.",""
"","INEX Discovery","The INEX Discovery Protocol is used by the IZ Discovery utility to find all devices connected to the LAN. IZ Discovery also enables display and editing of each device's network settings.",""
"AI Processor","GPU","NVIDIA Maxwell architecture with 128 CUDA® cores",""
"","CPU","Quad-core ARM Cortex-A57 MPCore processor",""
"","RAM","4 GB 64-bit LPDDR4, 1600MHz 25.6 GB/s",""
"","System Storage","MicroSD, 64 Gb",""
"","Data Storage","128 Gb",""
"","RTC Battery","Maintains real-time clock date and time for 4-6 hours",""
"","","Rechargeable; Full charge-up time: 12 hours",""
"","OS","Linux Ubuntu 18.04",""
"Environmental","Ingress Protection","IP67",""
"","Operating Temperature","–22°F to 140°F (–30°C to 60°C)",""
"","Storage Temperature","–22°F to 158°F (–30°C to 70°C)",""
"","Humidity","0% - 90% RH, non-condensing",""
"Certifications","EMC","FCC Class B/CE",""
"","Interoperability","ONVIF compliant, Profile S",""
"","RoHS","RoHS",""
"","Impact Protection","IK10 (Vandal-proof)",""
"","Eye Safety","IEC62471 Group 1",""
"","NDAA","NDAA Section 889 compliant",""
"Physical","Dimensions","(W x H x D) 6.7” x 4.7” x 17.7”",""
"","","(171 mm x 119 mm x 451 mm)",""
"","Weight","9.0 lbs (4.1 kg)",""
"Interface","Ethernet","10/100 BaseT",""
"","Connectors","LAN – Waterproof outdoor RJ-45 connector",""
"","","Power/Signals – Waterproof outdoor M12 connector",""
"","Digital Outputs","LPR Strobe (+/-): 5 V isolated",""
"","","OV Strobe (+/-): 5 V isolated",""
"Power","Input Voltage","24 VDC +/- 10%, Class 2 Low-Voltage",""
"","Power Consumption","25 W",""
"Accessories Included","","Sunshade",""
"","","Waterproof outdoor RJ-45 cable connector",""
"","","Waterproof outdoor M12 cable connector",""
"Accessories Available","","Power Supply",""
"","","IZIO Digital I/O Controller",""
"","","Different lengths of prefabricated power/signals cables",""
"","","Different mount options available",""
"","","External Illuminator (IZS Series)",""
"","","",""
